1	B1	268
2	B10	267
3	B100	241
4	B102	241
5	B104	241
6	B106	241
7	B108	241
8	B11	268
9	B110	241
10	B12	267
11	B13	269
12	B14	267
13	B15	269
14	B157	261
15	B159	261
16	B16	267
17	B160	263
18	B161	261
19	B163	261
20	B165	261
21	B167	261
22	B168	263
23	B17	269
24	B170	263
25	B172	263
26	B174	263
27	B18	267
28	B180	262
29	B182	262
30	B184	262
31	B186	262
32	B188	262
33	B19	269
34	B2	267
35	B20	267
36	B201	239
37	B203	239
38	B205	239
39	B207	239
40	B209	239
41	B211	239
42	B215	240
43	B217	240
44	B219	240
45	B22	267
46	B221	240
47	B223	240
48	B226	238
49	B228	238
50	B230	238
51	B232	238
52	B234	238
53	B236	238
54	B24	267
55	B251	272
56	B253	272
57	B255	272
58	B257	272
59	B259	272
60	B26	267
61	B261	272
62	B27	266
63	B270	271
64	B272	271
65	B274	271
66	B276	271
67	B278	271
68	B280	271
69	B29	266
70	B3	268
71	B31	266
72	B314	270
73	B316	270
74	B318	270
75	B320	270
76	B322	270
77	B33	266
78	B35	266
79	B39	265
80	B4	267
81	B41	265
82	B43	265
83	B45	265
84	B47	265
85	B5	268
86	B501	247
87	B502	245
88	B503	247
89	B504	245
90	B505	247
91	B506	245
92	B507	247
93	B508	245
94	B509	247
95	B51	242
96	B510	245
97	B511	247
98	B513	247
99	B515	248
100	B517	247
101	B519	247
102	B521	-1
103	B523	-1
104	B526	-1
105	B528	-1
106	B53	242
107	B530	246
108	B532	246
109	B534	246
110	B536	246
111	B538	243
112	B540	243
113	B542	243
114	B544	243
115	B546	243
116	B548	243
117	B55	242
118	B550	244
119	B552	244
120	B553	-1
121	B554	244
122	B555	-1
123	B556	244
124	B557	249
125	B559	249
126	B561	249
127	B563	250
128	B565	-1
129	B567	249
130	B569	249
131	B57	242
132	B571	249
133	B573	249
134	B575	249
135	B577	249
136	B579	249
137	B581	249
138	B59	242
139	B6	267
140	B600	256
141	B601	259
142	B602	256
143	B603	259
144	B604	256
145	B605	259
146	B606	256
147	B607	259
148	B608	256
149	B609	259
150	B61	242
151	B610	256
152	B611	259
153	B614	257
154	B616	257
155	B618	257
156	B619	254
157	B620	258
158	B621	254
159	B622	258
160	B623	254
161	B624	258
162	B625	254
163	B627	254
164	B629	254
165	B63	242
166	B631	255
167	B632	252
168	B633	255
169	B634	252
170	B635	255
171	B637	255
172	B639	255
173	B640	253
174	B641	255
175	B642	253
176	B644	253
177	B646	253
178	B650	260
179	B651	-1
180	B652	260
181	B654	260
182	B656	260
183	B658	260
184	B660	260
185	B662	260
186	B664	260
187	B666	260
188	B7	268
189	B70	251
190	B700	264
191	B702	264
192	B704	264
193	B72	251
194	B720	264
195	B722	264
196	B724	264
197	B726	264
198	B728	264
199	B730	264
200	B74	251
201	B750	-1
202	B752	-1
203	B754	-1
204	B756	-1
205	B758	-1
206	B76	251
207	B760	-1
208	B762	-1
209	B764	-1
210	B766	-1
211	B768	-1
212	B770	-1
213	B78	251
214	B8	267
215	B80	251
